date,sp500
2019-04-23,2933.6799
2019-04-24,2927.25
2019-04-25,2926.1699
2019-04-26,2939.8799
2019-04-29,2943.03
2019-04-30,2945.8301
2019-05-01,2923.73
2019-05-02,2917.52
2019-05-03,2945.6399
2019-05-06,2932.47
2019-05-07,2884.05
2019-05-08,2879.4199
2019-05-09,2870.72
2019-05-10,2881.3999
2019-05-13,2811.8701
2019-05-14,2834.4099
2019-05-15,2850.96
2019-05-16,2876.3201
2019-05-17,2859.53
2019-05-20,2840.23
2019-05-21,2864.3601
2019-05-22,2856.27
2019-05-23,2822.24
2019-05-24,2826.0601
2019-05-27,
2019-05-28,2802.3899
2019-05-29,2783.02
2019-05-30,2788.8601
2019-05-31,2752.0601
2019-06-03,2744.45
2019-06-04,2803.27
2019-06-05,2826.1499
2019-06-06,2843.49
2019-06-07,2873.3401
2019-06-10,2886.73
2019-06-11,2885.72
2019-06-12,2879.8401
2019-06-13,2891.6399
2019-06-14,2886.98
2019-06-17,2889.6699
2019-06-18,2917.75
2019-06-19,2926.46
2019-06-20,2954.1799
2019-06-21,2950.46
2019-06-24,2945.3501
2019-06-25,2917.3799
2019-06-26,2913.78
2019-06-27,2924.9199
2019-06-28,2941.76
2019-07-01,2964.3301
2019-07-02,2973.01
2019-07-03,2995.8201
2019-07-04,
2019-07-05,2990.4099
2019-07-08,2975.95
2019-07-09,2979.6299
2019-07-10,2993.0701
2019-07-11,2999.9099
2019-07-12,3013.77
2019-07-15,3014.3
2019-07-16,3004.04
2019-07-17,2984.4199
2019-07-18,2995.1101
2019-07-19,2976.6101
2019-07-22,2985.03
2019-07-23,3005.47
2019-07-24,3019.5601
2019-07-25,3003.6699
2019-07-26,3025.8601
2019-07-29,3020.97
2019-07-30,3013.1799
2019-07-31,2980.3799
2019-08-01,2953.5601
2019-08-02,2932.05
2019-08-05,2844.74
2019-08-06,2881.77
2019-08-07,2883.98
2019-08-08,2938.0901
2019-08-09,2918.6499
2019-08-12,2883.75
2019-08-13,2926.3201
2019-08-14,2840.6001
2019-08-15,2847.6001
2019-08-16,2888.6799
2019-08-19,2923.6499
2019-08-20,2900.51
2019-08-21,2924.4299
2019-08-22,2922.95
2019-08-23,2847.1101
2019-08-26,2878.3799
2019-08-27,2869.1599
2019-08-28,2887.9399
2019-08-29,2924.5801
2019-08-30,2926.46
2019-09-02,
2019-09-03,2906.27
2019-09-04,2937.78
2019-09-05,2976
2019-09-06,2978.71
2019-09-09,2978.4299
2019-09-10,2979.3899
2019-09-11,3000.9299
2019-09-12,3009.5701
2019-09-13,3007.3899
2019-09-16,2997.96
2019-09-17,3005.7
2019-09-18,3006.73
2019-09-19,3006.79
2019-09-20,2992.0701
2019-09-23,2991.78
2019-09-24,2966.6001
2019-09-25,2984.8701
2019-09-26,2977.6201
2019-09-27,2961.79
2019-09-30,2976.74
2019-10-01,2940.25
2019-10-02,2887.6101
2019-10-03,2910.6299
2019-10-04,2952.01
2019-10-07,2938.79
2019-10-08,2893.0601
2019-10-09,2919.3999
2019-10-10,2938.1299
2019-10-11,2970.27
2019-10-14,2966.1499
2019-10-15,2995.6799
2019-10-16,2989.6899
2019-10-17,2997.95
2019-10-18,2986.2
2019-10-21,3006.72
2019-10-22,2995.99
2019-10-23,3004.52
2019-10-24,3010.29
2019-10-25,3022.55
2019-10-28,3039.4199
2019-10-29,3036.8899
2019-10-30,3046.77
2019-10-31,3037.5601
2019-11-01,3066.9099
2019-11-04,3078.27
2019-11-05,3074.6201
2019-11-06,3076.78
2019-11-07,3085.1799
2019-11-08,3093.0801
2019-11-11,3087.01
2019-11-12,3091.8401
2019-11-13,3094.04
2019-11-14,3096.6299
2019-11-15,3120.46
2019-11-18,3122.03
2019-11-19,3120.1799
2019-11-20,3108.46
2019-11-21,3103.54
2019-11-22,3110.29
2019-11-25,3133.6399
2019-11-26,3140.52
2019-11-27,3153.6299
2019-11-28,
2019-11-29,3140.98
2019-12-02,3113.8701
2019-12-03,3093.2
2019-12-04,3112.76
2019-12-05,3117.4299
2019-12-06,3145.9099
2019-12-09,3135.96
2019-12-10,3132.52
